reference,species_taxid,walker_taxid,walker_taxon,walker_strain,walker_run_accession
M.tuberculosis,1773,194542,Mycobacterium pinnipedii,NCTC_13288,SRR32024534
M.avium,1764,44454,Mycobacterium avium subsp. avium,NCTC_13034,SRR32024535
M.malmoense,1780,1780,Mycobacterium malmoense,NCTC_11299,SRR32024539
M.asteroides,1824,1824,Nocardia asteroides,NCTC_11293,SRR32024540
M.haemophilum,29311,29311,Mycobacterium haemophilum,NCTC_11185,SRR32024541
M.neolactis,3393513,3393513,Mycobacterium neolactis,NCTC_11057,SRR32024543
M.intracellulare,1767,1203599,Mycobacterium yongonense,DSM_45126,SRR32024544
M.selandiae,3393511,3393511,Mycobacterium selandiae,NCTC_11054,SRR32024547
M.selandiae,3393511,3393511,Mycobacterium selandiae,NCTC_11053,SRR32024548
M.abscessus,36809,36809,Mycobacterium abscessus,NCTC_10882,SRR32024550
M.intracellulare,1767,3393505,Mycobacterium brunense,NCTC_10574,SRR32024557
M.novum,2492438,2492438,Mycobacterium novum,NCTC_10496,SRR32024559
M.ulcerans,1809,1809,Mycobacterium ulcerans,NCTC_10468,SRR32024561
M.aurum,1791,1791,Mycobacterium aurum,NCTC_10439,SRR32024563
M.aurum,1791,1791,Mycobacterium aurum,NCTC_10438,SRR32024564
M.neoaurum,1795,3393504,Mycobacterium tomidae,NCTC_10428,SRR32024565
M.phlei,1771,1771,Mycobacterium phlei,NCTC_10266,SRR32024571
M.marinum,1781,1781,Mycobacterium marinum,NCTC_10010,SRR32024575
M.neglectum,242737,242737,Mycobacterium neglectum,DSM_44756,SRR32024577
M.avium,1764,44454,Mycobacterium avium subsp. avium,NCTC_08559,SRR32024578
M.avium,1764,44454,Mycobacterium avium subsp. avium,NCTC_08553,SRR32024579
M.avium,1764,44454,Mycobacterium avium subsp. avium,NCTC_08552,SRR32024580
M.avium,1764,44454,Mycobacterium avium subsp. avium,NCTC_08551,SRR32024581
M.phlei,1771,1771,Mycobacterium phlei,NCTC_08151,SRR32024587
M.goodii,134601,134601,Mycobacterium goodii,DSM_44492,SRR32024588
M.smegmatis,1772,1772,Mycobacterium smegmatis,NCTC_03821,SRR32024591
M.pseudotuberculosis,1719,1719,Corynebacterium pseudotuberculosis,NCTC_03450,SRR32024593
M.duvalii,39688,39688,Mycobacterium duvalii,NCTC00358,SRR32024598
M.bouchedurhonense,701041,701041,Mycobacterium bouchedurhonense,JCM_17323,SRR32024605
M.celatum,28045,28045,Mycobacterium celatum,JCM_12373,SRR32024616
M.hodleri,49897,49897,Mycobacterium hodleri,JCM_12141,SRR32024618
M.avium,1764,44282,Mycobacterium avium subsp. silvaticum,DSM_44175,SRR32024621
M.parascrofulaceum,240125,240125,Mycobacterium parascrofulaceum,JCM_13015,SRR30899407
M.szulgai,1787,1787,Mycobacterium szulgai,NCTC_10830,SRR30899408
M.angelicum,470074,470074,Mycobacterium angelicum,DSM_45057,SRR30899411
M.aromaticivorans,318425,318425,Mycobacterium aromaticivorans,JCM_16368,SRR30899414
M.novum,2492438,2492438,Mycobacterium novum,NCTC_10486,SRR30899415
M.alvei,67081,67081,Mycobacterium alvei,JCM_12272,SRR30899419
M.mageritense,53462,53462,Mycobacterium mageritense,JCM_12375,SRR30899420
M.insubricum,444597,444597,Mycobacterium insubricum,JCM_16366,SRR30899425
M.thermoresistibile,1797,1797,Mycobacterium thermoresistibile,NCTC_10409,SRR30899429
M.houstonense,146021,146021,Mycobacterium houstonense,JCM_15656,SRR30899432
M.mantenii,560555,560555,Mycobacterium mantenii,JCM_18113,SRR30899441
M.arupensis,342002,342002,Mycobacterium arupense,DSM_44942,SRR30899452
M.europaeum,761804,761804,Mycobacterium europaeum,DSM_45397,SRR30899457
M.lentiflavum,141349,141349,Mycobacterium lentiflavum,JCM_13390,SRR30899459
M.paraterrae,577492,577492,Mycobacterium paraterrae,DSM_45127,SRR30899461
M.genavense,36812,36812,Mycobacterium genavense,ATCC51234(a),SRR30899464
