run_accession,sample_accession,experiment_accession,study_accession,tax_id,scientific_name,walker_taxon,strain,comid,library_name,fastq_ftp,bucket_id
SRR32024525,SAMN46230634,SRX27375030,PRJNA1169681,144549,Mycolicibacterium fortuitum subsp. fortuitum,Mycobacterium fortuitum subsp. fortuitum,NCTC_8573,C00016659,cb4a253e-9229-4e02-b9a4-13458ee267e9,ftp.sra.ebi.ac.uk/vol1/fastq/SRR320/025/SRR32024525/SRR32024525_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR320/025/SRR32024525/SRR32024525_2.fastq.gz,0a3513fb-321d-4702-b7d3-6a95c99e571a
SRR32024526,SAMN46230633,SRX27375029,PRJNA1169681,1772,Mycolicibacterium smegmatis,Mycobacterium smegmatis,NCTC_8152,C00016620,b9c9f357-0cf7-4241-bb8c-10021c913829,ftp.sra.ebi.ac.uk/vol1/fastq/SRR320/026/SRR32024526/SRR32024526_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR320/026/SRR32024526/SRR32024526_2.fastq.gz,c50fbe3f-2612-481b-b8f9-d53f1ed3b72e
SRR32024531,SAMN46230628,SRX27375024,PRJNA1169681,144549,Mycolicibacterium fortuitum subsp. fortuitum,Mycobacterium fortuitum subsp. fortuitum,NCTC_1542,C00016663,4696a9d2-7aef-4ead-ad93-d09312c82699,ftp.sra.ebi.ac.uk/vol1/fastq/SRR320/031/SRR32024531/SRR32024531_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR320/031/SRR32024531/SRR32024531_2.fastq.gz,fc719cec-4a8e-4822-9277-a2897adbd31c
SRR32024532,SAMN46230627,SRX27375023,PRJNA1169681,3393522,Mycobacterium sp. NCTC 13472,Mycobacterium sp.,NCTC_13472,C00016619,831ea398-4f3e-49ab-9678-0d3ae162a857,ftp.sra.ebi.ac.uk/vol1/fastq/SRR320/032/SRR32024532/SRR32024532_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR320/032/SRR32024532/SRR32024532_2.fastq.gz,d90d2f2b-8d61-48be-b5ee-a23a8fac2659
SRR32024534,SAMN46230626,SRX27375021,PRJNA1169681,194542,Mycobacterium tuberculosis variant pinnipedii,Mycobacterium pinnipedii,NCTC_13288,C00018296,d9ec2378-3f0e-4f58-85ea-ad67f9b5f47c,ftp.sra.ebi.ac.uk/vol1/fastq/SRR320/034/SRR32024534/SRR32024534_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR320/034/SRR32024534/SRR32024534_2.fastq.gz,1402d4a1-a911-4b81-b57e-6db2b086319d
SRR32024535,SAMN46230625,SRX27375020,PRJNA1169681,44454,Mycobacterium avium subsp. avium,Mycobacterium avium subsp. avium,NCTC_13034,C00016636,8c4bb578-a023-4d22-a422-213e060a6a5a,ftp.sra.ebi.ac.uk/vol1/fastq/SRR320/035/SRR32024535/SRR32024535_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR320/035/SRR32024535/SRR32024535_2.fastq.gz,01dface5-0fbf-4c3a-bd20-7d359e3b071b
SRR32024539,SAMN46230621,SRX27375016,PRJNA1169681,1780,Mycobacterium malmoense,Mycobacterium malmoense,NCTC_11299,C00018365,7c4816e7-4d7e-4609-95df-fb87074d1da1,ftp.sra.ebi.ac.uk/vol1/fastq/SRR320/039/SRR32024539/SRR32024539_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR320/039/SRR32024539/SRR32024539_2.fastq.gz,156b3354-2a66-4b9d-aaf0-dc4cc47670d6
SRR32024540,SAMN46230620,SRX27375015,PRJNA1169681,1824,Nocardia asteroides,Nocardia asteroides,NCTC_11293,C00018363,a25116da-5e42-45d5-b202-485b13ab61a6,ftp.sra.ebi.ac.uk/vol1/fastq/SRR320/040/SRR32024540/SRR32024540_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR320/040/SRR32024540/SRR32024540_2.fastq.gz,f8ce649d-6b5f-411b-9bd0-b4c0e8df6beb
SRR32024541,SAMN46230619,SRX27375014,PRJNA1169681,29311,Mycobacterium haemophilum,Mycobacterium haemophilum,NCTC_11185,C00018366,1f57b3cc-9d6c-4b22-bd3c-aa243501b8b7,ftp.sra.ebi.ac.uk/vol1/fastq/SRR320/041/SRR32024541/SRR32024541_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR320/041/SRR32024541/SRR32024541_2.fastq.gz,961f2408-ad57-4a27-a19f-98ff1eb580a0
SRR32024543,SAMN46230617,SRX27375012,PRJNA1169681,3393513,Mycobacterium neolactis,Mycobacterium neolactis,NCTC_11057,C00018362,b2a546ab-8735-4d60-85ab-9f5dff6076da,ftp.sra.ebi.ac.uk/vol1/fastq/SRR320/043/SRR32024543/SRR32024543_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR320/043/SRR32024543/SRR32024543_2.fastq.gz,06dcf0bc-f409-482d-a157-f6eb30d21dd5
