reference,first_contig,strain,assembly_accession,not_used_in_manifest
M.aquaticum,NZ_MVHF01000001.1,RW6,GCF_002086485.1,
M.arosiense,NZ_MVHG01000001.1,DSM_45069,GCF_002086125.1,
M.bacteremicum,NZ_MVHJ01000001.1,DSM_45578,GCF_002086115.1,
M.intermedium,NZ_MVHT01000001.1,DSM_44049,GCF_002086275.1,
M.rhodesiae,NZ_MVIH01000001.1,DSM_44223,GCF_002086695.1,
M.tusciae,NZ_MVIM01000001.1,DSM_44338,GCF_002086795.1,
M.persicum,NZ_MWQA01000001.1,12MK,GCF_002086915.1,
M.simulans,NZ_OCVX01000001.1,FI-09026,GCF_900232995.1,
M.agri,NZ_PDCP01000001.1,CCUG37673,GCF_002553505.1,
M.kyogaense,NZ_QJUA01000001.1,NCTC_11659,GCF_003254575.1,
M.stellerae,NZ_RARC01000001.1,CECT_8783,GCF_003719305.1,
M.shimoidei,NZ_UEGW01000001.1,P7336,GCF_900417275.1,
M.attenuatum,NZ_UPHP01000001.1,MK136,GCF_900566065.1,
M.pseudokansasii,NZ_UPHU01000001.1,MK142,GCF_900566075.1,
M.helveticum,NZ_VMQU01000001.1,16-83,GCF_007714205.1,
